time,CO2
1750.5,278.3
1850.5,285.5
1851.5,285.6219118
1852.5,285.7598381
1853.5,285.8837568
1854.5,285.9897006
1855.5,286.0756249
1856.5,286.1745497
1857.5,286.3204715
1858.5,286.4763727
1859.5,286.6433211
1860.5,286.8282444
1861.5,287.0131678
1862.5,287.171083
1863.5,287.3329961
1864.5,287.4949092
1865.5,287.6578598
1866.5,287.8157751
1867.5,287.9806789
1868.5,288.1216264
1869.5,288.2325446
1870.5,288.3534725
1871.5,288.4833727
1872.5,288.6443092
1873.5,288.8312161
1874.5,289.0231585
1875.5,289.244062
1876.5,289.463989
1877.5,289.6869372
1878.5,289.9188576
1879.5,290.1377775
1880.5,290.3776935
1881.5,290.6356149
1882.5,290.9085509
1883.5,291.143462
1884.5,291.383378
1885.5,291.6593048
1886.5,291.9532369
1887.5,292.2581553
1888.5,292.5980774
1889.5,292.9390066
1890.5,293.2749309
1891.5,293.6238557
1892.5,293.9657614
1893.5,294.2666821
1894.5,294.5716005
1895.5,294.8505485
1896.5,295.1274518
1897.5,295.3993807
1898.5,295.6983177
1899.5,296.0352186
1900.5,296.4011416
1901.5,296.7240654
1902.5,297.0330122
1903.5,297.3529148
1904.5,297.6438562
1905.5,297.9697707
1906.5,298.3336796
1907.5,298.7606073
1908.5,299.1715438
1909.5,299.5804662
1910.5,300.0123683
1911.5,300.4552872
1912.5,300.9702276
1913.5,301.5181575
1914.5,302.0180528
1915.5,302.5269812
1916.5,303.0659084
1917.5,303.5828325
1918.5,304.0117438
1919.5,304.3676877
1920.5,304.7906176
1921.5,305.135514
1922.5,305.4714383
1923.5,305.7883807
1924.5,306.1382821
1925.5,306.3122191
1926.5,306.4441333
1927.5,306.6580484
1928.5,306.8009795
1929.5,306.9579182
1930.5,307.0738413
1931.5,307.2667602
1932.5,307.5286794
1933.5,307.8285929
1934.5,308.2025116
1935.5,308.6354513
1936.5,309.411378
1937.5,310.1542847
1938.5,310.6752066
1939.5,311.2231365
1940.5,311.720041
1941.5,312.1649741
1942.5,312.5168896
1943.5,312.7258303
1944.5,312.7397331
1945.5,312.7026716
1946.5,312.6985995
1947.5,312.7855004
1948.5,312.8114271
1949.5,312.9133426
1950.5,313.0932916
1951.5,313.2772078
1952.5,313.5961338
1953.5,313.9750574
1954.5,314.3309707
1955.5,314.6419011
1956.5,314.9158137
1957.5,315.2007431
1958.5,315.544663
1959.5,315.9975917
1960.5,316.8065079
1961.5,317.4714117
1962.5,318.2073604
1963.5,318.8042711
1964.5,319.4781775
1965.5,319.9521023
1966.5,321.0070513
1967.5,321.59795
1968.5,322.4978696
1969.5,323.3507922
1970.5,324.8737282
1971.5,325.4816557
1972.5,327.4215839
1973.5,329.9725045
1974.5,330.8104125
1975.5,330.8723499
1976.5,331.5812601
1977.5,333.3801666
1978.5,335.0281026
1979.5,336.6140269
1980.5,338.8
1981.5,340
1982.5,340.76
1983.5,342.44
1984.5,343.99
1985.5,345.46
1986.5,346.87
1987.5,348.62
1988.5,351.15
1989.5,352.8
1990.5,353.98
1991.5,355.29
1992.5,355.99
1993.5,356.71
1994.5,358.21
1995.5,360.04
1996.5,361.8
1997.5,362.9
1998.5,365.54
1999.5,367.64
2000.5,368.83
2001.5,370.41
2002.5,372.42
2003.5,374.97
2004.5,376.79
2005.5,378.82
2006.5,380.96
2007.5,382.69
2008.5,384.79
2009.5,386.29
2010.5,388.57
2011.5,390.45
2012.5,392.46
2013.5,395.2
2014.5,397.12
2015.5,399.42
2016.5,402.85
2017.5,405
2018.5,407.39
2019.5,409.85
2020.5,412.3
2021.5,414.5
2022.5,416.9
