"model","run","conv","nit","gamma","C1","C2","C3","kappa1","kappa2","kappa3","epsilon","sigma_eta","sigma_xi","F_4xCO2"
"MPI-ESM1-2-HR","r1i1p1f1","TRUE","7355","3.48907693757714","5.11994168759328","23.6380500518919","72.7610682244216","1.17172520397417","1.59242160422008","1.11456351592955","1.56269463894586","0.569920095623966","0.437149690379902","7.82379463689236"
"CAMS-CSM1-0","r1i1p1f1","TRUE","5261","27.6903291212266","2.61154852892472","9.10141529335979","52.3771258109827","1.88459611728837","5.31866343908212","0.652008351652959","1.24765998044617","2.65798360691565","0.445333655256931","8.86150438425588"
"BCC-ESM1","r1i1p1f1","TRUE","4620","1.88054689405833","5.35350498309253","15.8254074438735","77.401701105093","0.884922675730687","1.47911761248746","0.914739989896134","1.29394869233522","0.389055431315589","0.314776534004092","6.25364750265027"
"MRI-ESM2-0","r10i1p1f1","TRUE","4487","2.47855358996339","3.51763313410641","9.37773544550748","99.0611359651803","1.10358474684034","3.71860977426387","1.09389842085318","1.34565353097176","0.708232103990683","0.6011465156007","7.5720514983639"
"MRI-ESM2-0","r1i1p1f1","TRUE","4676","2.99364942170171","4.24324019263146","10.5241087284701","94.0828782139596","1.10878378460844","2.8513114433514","1.25033504035451","1.33326339829372","0.976914442442333","0.515174716934388","7.5629921776157"
"MRI-ESM2-0","r7i1p1f1","TRUE","4201","2.41113852888643","3.64308013564154","11.6898140765613","99.2603596301469","1.06059023425262","2.85660336207235","1.10183525362409","1.24021404057456","0.693120740482477","0.525863476437692","7.18016367002009"
"MRI-ESM2-0","r4i1p1f1","TRUE","4433","2.63211827208064","4.21297246759393","9.74088553029269","97.3314427585557","1.10938372717403","2.8531191599781","1.17867740579661","1.24406776189916","0.783887699476237","0.509543126499883","7.39808572606242"
"MRI-ESM2-0","r13i1p1f1","TRUE","5295","2.84829314148105","4.42118106121646","11.16362492687","97.9479830472341","1.16510752643696","2.4307657312693","1.23567118330057","1.25663684302473","0.818704584152828","0.503353226476443","7.65305068374289"
"MRI-ESM2-0","r1i2p1f1","TRUE","4064","3.06455817520592","4.03972641206693","8.95331170768817","105.542753252107","1.16428029378378","2.83128390014936","1.1450580814891","1.1751964099122","0.89529515561539","0.507667941894744","7.48336293156825"
"E3SM-1-0","r1i1p1f1","TRUE","5340","3.06834888308021","3.6489969034539","9.57476394587671","42.3705770594219","0.584381739805841","2.36744942723081","0.367498119582597","1.49414352702766","0.910037104272629","0.6041441101874","7.04701568522058"
"INM-CM4-8","r1i1p1f1","TRUE","6665","2.50787650909196","4.34900942112202","9.81108019344728","22.2746677317793","1.57796675692274","1.8966507686914","0.554253627416286","1.44544477256647","0.436590953584572","0.261742754300611","5.94138912010925"
"IPSL-CM6A-LR","r1i1p1f1","TRUE","4730","3.21973179632195","3.40384921092548","13.2237847412093","61.7216637470955","0.719581555483067","1.75789954488701","0.484251805167437","1.27783067354475","0.904645327741068","0.49246012303833","7.04937770924061"
"CanESM5","r1i1p1f1","TRUE","3945","2.93481658969902","3.55920672639307","11.8088043671921","74.2820514253642","0.639423039622247","2.17327348112456","0.626969669539724","1.09918924041744","0.571863629559899","0.454726662850045","7.4722453062191"
"CanESM5","r1i1p2f1","TRUE","4792","2.61815204138548","3.63471831848158","10.6459672691636","73.0303561720786","0.618120943131693","2.47976385099945","0.612777002996876","1.11545717293155","0.421155443887599","0.481660549275362","7.33068811566007"
"IITM-ESM","r1i1p1f1","TRUE","4802","2.94612461733036","3.75833751052619","11.9681330035783","149.601412662612","1.99005795243114","2.79900697325416","1.00311255150412","1.05721284766528","1.14785552656399","0.543763507562955","9.42903848576276"
"MIROC6","r1i1p1f1","TRUE","14924","1.86419539027626","4.26789261860404","22.9469252011372","349.720670619595","1.99606573847289","1.2021849666167","0.597001945776846","0.377684881383082","0.706413937985088","0.886525712561605","8.57036757856412"
"CESM2-FV2","r1i1p1f1","TRUE","5369","2.71288117029516","3.86275169575568","7.01641589503575","85.8138608628807","0.537785418430603","4.00738234781807","1.0059244588732","1.74964991321621","0.882560662267469","0.611250137866282","7.36118136978533"
"CAS-ESM2-0","r1i1p1f1","TRUE","4097","1.89366170880839","3.56430048396601","8.56915935589433","54.9144320055577","0.932452746419415","2.49790739249498","0.674526845480781","1.33058827520091","0.519484509480845","0.412763235232346","6.97489221218759"
"INM-CM5-0","r1i1p1f1","TRUE","6494","1.91755952476111","4.57546912691312","11.4242327202517","48.6753587091265","1.54395016602195","1.90414884318437","0.584441466936503","1.45322417271962","0.442889157796512","0.323717604210233","6.23281664223569"
"CESM2-WACCM-FV2","r1i1p1f1","TRUE","3667","2.89423354588323","3.38605198791266","9.45534968840797","106.920427854935","0.562505624662474","3.52390255864439","0.94429897713273","1.50376322066814","0.941810833006922","0.531170400010139","6.72753856102124"
