model,run,ecs,tcr,tau1,tau2,tau3,q1,q2,q3
ACCESS-CM2,r1i1p1f1,5.35910346437938,2.4825197123044855,0.867724377748325,9.372214510350712,357.73356768155566,0.18416211106019043,0.50267513646153,0.8034183678675795
ACCESS-ESM1-5,r1i1p1f1,4.687011075973058,1.9984300556475387,0.6547103688176806,6.064974826807856,348.96958592161064,0.1241361764531136,0.44480739308166195,0.8605443247329303
AWI-CM-1-1-MR,r1i1p1f1,3.2788568596995367,2.1721411682033986,1.1837935890251654,7.515534668298161,166.50310572107676,0.23944297182906493,0.2824753156505202,0.29526582677613683
BCC-CSM2-MR,r1i1p1f1,3.1519990628362695,1.8652326545430118,1.093940200712054,7.432455823326601,197.42860969818508,0.2149318649002653,0.31291792492575726,0.41145561017167426
BCC-ESM1,r1i1p1f1,3.5334429064587987,1.9144960761746652,1.9372942947629883,9.802791541010604,288.3982045442408,0.29753571738956053,0.3077166204076181,0.5247898991409732
CAMS-CSM1-0,r1i1p1f1,2.351035403014136,1.729919244554212,0.3100945364734381,4.718426133375203,130.19174848613702,0.10037639907785027,0.2737461876372708,0.15649508294178055
CAS-ESM2-0,r1i1p1f1,3.740078110644711,2.184942598838831,0.8244709374709026,6.536120631917294,198.10763332597594,0.17692825678920368,0.4153042822008689,0.4802078649231175
CESM2,r1i1p1f1,6.294011441162785,2.490964477486597,0.6292418000581353,5.020604688504614,307.5815385814323,0.06941310249735622,0.4691355712425766,1.0012257157705862
CESM2-FV2,r1i1p1f1,6.843976349588629,2.242379857262236,0.5586933822394234,4.5851371226397655,418.80179138465616,0.08844980521649343,0.44661505693440856,1.3244128509456348
CESM2-WACCM,r1i1p1f1,5.6027649117996665,2.3053034537927863,0.302951740075768,4.733622946104986,317.77016442341494,0.04864236572638972,0.4652731534057037,0.8745929639192848
CESM2-WACCM-FV2,r1i1p1f1,5.979974480306792,2.1585564413996563,0.6346891385163262,6.218779594198848,463.34597422177194,0.13876915932077963,0.4610970172088837,1.177893824714843
CIESM,r1i1p1f1,6.2552438153595284,2.6923335940605013,1.1672052010047347,7.707726999949897,262.84376494009047,0.15349459710961097,0.4211304266940894,0.9004993682790501
CMCC-CM2-SR5,r1i1p1f1,3.741252745561582,2.3046181821607727,0.9344280417251879,7.556847145086913,178.50964949356114,0.22776056517880533,0.31334097932435784,0.38457275823048437
CNRM-CM6-1,r1i1p1f2,4.704284646102583,2.658501282611434,1.2546368098070146,14.974144904091288,394.7197215409755,0.35249214054194045,0.43043923916406146,0.503237758231436
CNRM-CM6-1-HR,r1i1p1f2,4.101408955814773,2.5692571985006736,1.201905313235388,11.629626689144823,262.43999900825526,0.23888976327643266,0.46641609497724246,0.3599744379665892
CNRM-ESM2-1,r1i1p1f2,4.35211400423957,2.388976030057488,0.8018300903897592,8.809007194472994,321.3415116169367,0.16502212255914087,0.6659683150403679,0.6446056884942047
CNRM-ESM2-1,r2i1p1f2,4.660599663298908,2.3707661463132355,1.3229654947164449,9.729947893374742,370.9989244426854,0.2769470795692371,0.4958740989231792,0.7260357404655048
CNRM-ESM2-1,r3i1p1f2,4.416890049162846,2.3621777031736184,1.453983370718194,11.531503909737086,341.1905405509359,0.2315504518909574,0.61703617010141,0.6556032933728181
CanESM5,r1i1p1f1,5.8429590765399055,2.9351492285146366,1.0533665828520808,11.307506725183705,300.8482197327563,0.24153409940362483,0.5553648173028959,0.7670109489604562
CanESM5,r1i1p2f1,5.929816969571797,2.920757426775493,0.9428672204013019,10.649909557854286,299.624006185144,0.20375268661650245,0.5996691132047997,0.8143845714262528
E3SM-1-0,r1i1p1f1,6.029462597138925,3.0956282993766804,0.970699311927462,11.329950525325943,264.74071987689683,0.20380336474983743,0.6912382718132343,0.8161685739617245
EC-Earth3,r3i1p1f1,4.329432837307779,2.5332809783759274,0.7780645033701074,8.696603237277671,137.63096119706162,0.19661113483561116,0.4515173006726217,0.5687150367747081
EC-Earth3,r8i1p1f1,4.340580535817064,2.6612903246519064,0.7392270977273145,7.066868300522692,120.53742856454674,0.20400777035912018,0.42411441787175025,0.5308794784584004
EC-Earth3-Veg,r1i1p1f1,4.461093428072757,2.651820775701897,0.8614717038886897,8.166283206110997,127.95309939927002,0.21889580976181583,0.4124750184252221,0.5608036114164374
FGOALS-f3-L,r1i1p1f1,3.247292756062759,2.0218003376132008,0.24674652391235066,5.112501005516217,198.50071364915226,0.11024677458066891,0.30085645297292285,0.2847175799840401
FGOALS-f3-L,r2i1p1f1,3.1968198854059224,2.0456045730789656,0.03498979307617834,5.174700927140437,191.74945815376813,0.07391204048251257,0.3585004735972357,0.26976408082164127
FGOALS-f3-L,r3i1p1f1,3.205021280117437,2.037476710026874,0.10565127373214381,4.97795446687624,186.67635733795078,0.090536174639953,0.32500805894672713,0.2721816762782782
FGOALS-g3,r1i1p1f1,3.044215310099018,1.857818318594406,0.758407169115479,4.9547983176790265,237.7458068636709,0.13418417416571046,0.3329684866644878,0.32889786230985407
FIO-ESM-2-0,r1i1p1f1,4.668261574234007,2.311630181752707,0.4251127482354953,5.563343355862746,278.4848924132719,0.10753686300553762,0.42478701795454876,0.6163101935473155
FIO-ESM-2-0,r2i1p1f1,4.120793387081041,2.300854241699383,3.588198232654759,203.35018607217899,0.031047869397115783,0.4593830366031612,0.44245822489122716,1.974426797510502e-09
FIO-ESM-2-0,r3i1p1f1,4.370813428258343,2.3491957227253346,0.6971250820511709,7.57690606626492,286.64400487497085,0.14990760332478817,0.4565111981296755,0.539314107091729
GFDL-CM4,r1i1p1f1,4.495156726373933,2.1940191293927316,0.032123937906881624,2.3510187012453043,267.62103731402635,5.8080797759427094e-05,0.4338429178659224,0.5629871367101493
GFDL-ESM4,r1i1p1f1,2.661161194721757,1.7857284214319646,1.1195064163828692,7.244171210536384,313.4971802108882,0.21554314094856158,0.27845723419673246,0.2291438682883723
GISS-E2-1-G,r102i1p1f1,2.584574058828044,1.7603169186650736,0.6817506044112146,5.099517298783626,304.82452822817487,0.1718547470375636,0.2488987332179193,0.1987331621766613
GISS-E2-1-G,r1i1p1f1,2.7814777737345633,1.7625146160036285,0.8884944844063518,5.494847061551291,353.1855678502179,0.20989797857711318,0.22644383514351546,0.2573999245558622
GISS-E2-1-G,r1i1p3f1,2.841700430487282,1.67305733173793,1.226330649883325,10.194503618740397,478.7853302361174,0.30104998467466226,0.13349453632961236,0.2962803779935539
GISS-E2-1-G,r1i1p5f1,2.672021204992705,1.7665290053491678,0.9239312741032822,7.9657494768961215,498.7482990439622,0.2595933163895423,0.17529372640295865,0.20841830885225351
GISS-E2-1-H,r1i1p1f1,3.166801792380146,1.9537729499173537,0.2665751685916868,5.862605700731909,196.92897349850887,0.1289120442826927,0.3661287886971882,0.3447510951919917
GISS-E2-1-H,r1i1p3f1,3.2497155724249254,1.9268291482905955,0.35741501407790005,5.981815957771579,211.2358827131048,0.1364120760488044,0.37323426528832077,0.39283366142385834
GISS-E2-2-G,r1i1p1f1,2.036944792577309,1.6750426033004338,0.851791432921552,9.770159630910937,642.3465395579061,0.21613655101471654,0.23307083809047802,0.05779702725177769
HadGEM3-GC31-LL,r1i1p1f3,5.908332963648745,2.8330508632771307,0.8461460443572045,9.196388362282534,272.98672812881125,0.16050520398834148,0.6031507444221952,0.8725292672050006
HadGEM3-GC31-MM,r1i1p1f3,5.540900401557174,2.770223876779348,1.1111542763958124,12.339804872171248,251.47735436093814,0.28001526140433924,0.4847995862877054,0.7830549890582595
IITM-ESM,r1i1p1f1,2.369036156520929,1.6687845549122637,0.6986263467407866,5.9305752812321595,290.6676693577584,0.16280270240983236,0.19296735596447134,0.14672787078316465
INM-CM4-8,r1i1p1f1,1.8826090898441386,1.405469480115512,1.0771080034615783,6.307905531097893,84.32963289687808,0.20650796282786074,0.22599174853862422,0.20122720056804969
INM-CM5-0,r1i1p1f1,2.0184643194458776,1.422248150560769,1.1561175586940127,7.356993847253499,174.09818658803812,0.21431603568885912,0.23576319155053121,0.1976100712931786
IPSL-CM6A-LR,r1i1p1f1,4.8982479161158095,2.6951927667161124,1.2004675280020436,12.647877173832002,298.71038849943506,0.30372717974426033,0.4905390719036569,0.5954302912667822
KACE-1-0-G,r1i1p1f1,5.355886411018349,2.5036914801347563,0.4775289156948852,6.073927822572063,336.51828805098313,0.15055022084765923,0.45832129107124764,0.7639944595539345
KIOST-ESM,r1i1p1f1,3.865352768459704,1.9879908099612322,0.4708178803728581,5.21587958960822,297.55177699785673,0.1887159347373759,0.32743023757628253,0.5540947596141333
MIROC-ES2L,r1i1p1f2,2.25391790934843,1.7836882313556301,1.1671277096628774,14.197244561437813,395.67433829581535,0.23865826467669232,0.20675898872587417,0.06649931418007216
MIROC6,r1i1p1f1,2.1468149603932805,1.7113081746977827,1.2983324027879906,23.93544149860217,769.3253943721148,0.29550875173617336,0.15895069433199258,0.04652605792884191
MPI-ESM-1-2-HAM,r1i1p1f1,3.267929530913049,1.9383203344480269,1.2352340236991701,7.55641112295506,299.19568286769487,0.2092375304097258,0.24388682905923922,0.31776765507158106
MPI-ESM1-2-HR,r1i1p1f1,3.3385791354304746,1.8885721584424489,1.7033891018400575,9.490939197693248,261.91719922528085,0.30063902675387577,0.16455153224892707,0.3882518664125378
MPI-ESM1-2-LR,r1i1p1f1,3.1866888716566923,2.010961177717738,1.2608009717578925,5.759395155256471,244.77367480221713,0.18851697611048734,0.2502346932457219,0.2748139445511609
MRI-ESM2-0,r10i1p1f1,3.430661541872228,1.8083235167172258,0.5786825051182364,4.915465660147563,255.90779430802033,0.126103614062245,0.3173374159090488,0.462696901767151
MRI-ESM2-0,r13i1p1f1,3.2842679796030674,1.8335918796524944,1.000018866046419,5.594507352900412,246.9203939641639,0.1751298977878677,0.27642506048790083,0.4067349225373101
MRI-ESM2-0,r1i1p1f1,3.41049007146444,1.8037924648426225,0.8494212589030639,5.141057971780542,243.38846114237342,0.15079310336866417,0.28916665611455217,0.461929331863068
MRI-ESM2-0,r1i2p1f1,3.213729104375789,1.8268908260741812,0.7895467473942747,5.104417851750407,250.94094413683703,0.1450146231137005,0.3179830504892609,0.39590203065134094
MRI-ESM2-0,r4i1p1f1,3.334322265979059,1.8168929988854015,0.8316533181853328,5.274990400646203,244.0504222766863,0.14663976358907732,0.3124187378413077,0.4423428581761166
MRI-ESM2-0,r7i1p1f1,3.384984812291729,1.8179988136848089,0.7792475045983553,6.231174797764808,260.7909927321598,0.1744578562181426,0.30428957848926336,0.4641237776649042
NESM3,r1i1p1f1,4.225242827873716,2.8464848137361543,1.1919009687197912,22.573168197340603,460.1810406455075,0.4600653276272876,0.3307775714355229,0.24581648833919495
NorCPM1,r1i1p1f1,3.5189277158281747,1.7547184383059669,1.5494128031081214,7.165966063760914,292.3824321134336,0.2161800812421277,0.24050842365967692,0.5133558633183889
NorESM2-LM,r1i1p1f1,2.7569382219096745,1.6365993802782663,0.026879805528910592,1.4754279863845852,254.58209099447126,6.6183307212782314e-06,0.3219679282762635,0.264729104521937
NorESM2-MM,r1i1p1f1,2.324120532966176,1.7098704590059357,1.4967371406911112,217.21237678642706,0.02699468007011118,0.3621142614832869,0.14871983763123103,1.182483792945289e-11
SAM0-UNICON,r1i1p1f1,4.006244504961595,2.201866698434614,0.8166204916012059,4.580653818725394,299.10758586779053,0.10350145984056691,0.4020315370187388,0.45288400726728234
TaiESM1,r1i1p1f1,4.665172094457357,2.4436786311678094,1.1479062335048598,6.745945235442864,288.29276874466694,0.1513646225880788,0.42941078696694185,0.5640435487559166
UKESM1-0-LL,r1i1p1f2,5.626078753195244,2.844642676087406,0.7600647507586392,10.36896712478245,292.9728660172187,0.21787941001962513,0.5554287451024709,0.7516251770823893
